,link,primary name,secondary name,symptoms
142,https://www.mayoclinic.org/diseases-conditions/gout/symptoms-causes/syc-20372897,Gout,"Arthritis, goutySee Gout","['Intense joint pain.Gout usually affects the big toe, but it can occur in any joint. Other commonly affected joints include the ankles, knees, elbows, wrists and fingers. The pain is likely to be most severe within the first four to 12 hours after it begins.', 'Lingering discomfort.After the most severe pain subsides, some joint discomfort may last from a few days to a few weeks. Later attacks are likely to last longer and affect more joints.', 'Inflammation and redness.The affected joint or joints become swollen, tender, warm and red.', 'Limited range of motion.As gout progresses, you may not be able to move your joints normally.']"
143,https://www.mayoclinic.org/diseases-conditions/bone-and-joint-infections/symptoms-causes/syc-20350755,Septic arthritis,"Arthritis, infectiousSee Septic arthritis","['Existing joint problems.Chronic diseases and conditions that affect your joints — such as osteoarthritis, gout, rheumatoid arthritis or lupus — can increase your risk of septic arthritis, as can previous joint surgery and joint injury.', 'Having an artificial joint.Bacteria can be introduced during joint replacement surgery, or an artificial joint may become infected if germs travel to the joint from a different area of the body through the bloodstream.', 'Taking medications for rheumatoid arthritis.People with rheumatoid arthritis have a further increase in risk because of medications they take that can suppress the immune system, making infections more likely to occur. Diagnosing septic arthritis in people with rheumatoid arthritis is difficult because many of the signs and symptoms are similar.', 'Skin fragility.Skin that breaks easily and heals poorly can give bacteria access to your body. Skin conditions such as psoriasis and eczema increase your risk of septic arthritis, as do infected skin wounds. People who regularly inject drugs also have a higher risk of infection at the site of injection.', 'Weak immune system.People with a weak immune system are at greater risk of septic arthritis. This includes people with diabetes, kidney and liver problems, and those taking drugs that suppress their immune systems.', 'Joint trauma.Animal bites, puncture wounds or cuts over a joint can put you at risk of septic arthritis.']"
144,https://www.mayoclinic.org/diseases-conditions/juvenile-idiopathic-arthritis/symptoms-causes/syc-20374082,Juvenile idiopathic arthritis,"Arthritis, juvenile idiopathicSee Juvenile idiopathic arthritis","['Pain.While your child might not complain of joint pain, you may notice that he or she limps — especially first thing in the morning or after a nap.', 'Swelling.Joint swelling is common but is often first noticed in larger joints such as the knee.', 'Stiffness.You might notice that your child appears clumsier than usual, particularly in the morning or after naps.', 'Fever, swollen lymph nodes and rash.In some cases, high fever, swollen lymph nodes or a rash on the trunk may occur — which is usually worse in the evenings.']"
145,https://www.mayoclinic.org/diseases-conditions/psoriatic-arthritis/symptoms-causes/syc-20354076,Psoriatic arthritis,"Arthritis, psoriaticSee Psoriatic arthritis","['Swollen fingers and toes.Psoriatic arthritis can cause a painful, sausage-like swelling of your fingers and toes.', 'Foot pain.Psoriatic arthritis can also cause pain at the points where tendons and ligaments attach to your bones — especially at the back of your heel (Achilles tendinitis) or in the sole of your foot (plantar fasciitis).', 'Lower back pain.Some people develop a condition called spondylitis as a result of psoriatic arthritis. Spondylitis mainly causes inflammation of the joints between the vertebrae of your spine and in the joints between your spine and pelvis (sacroiliitis).', 'Nail changes.Nails can form tiny dents (pits), crumble or separate from the nail beds.', 'Eye inflammation.Uveitis can cause eye pain, redness and blurry vision. If untreated, uveitis can lead to vision loss.']"
146,https://www.mayoclinic.org/diseases-conditions/reactive-arthritis/symptoms-causes/syc-20354838,Reactive arthritis,"Arthritis, reactiveSee Reactive arthritis","['Pain and stiffness.The joint pain associated with reactive arthritis most commonly occurs in the knees, ankles and feet. Pain may also occur in the heels, low back or buttocks.', 'Eye inflammation.Many people who have reactive arthritis also develop eye inflammation (conjunctivitis).', 'Urinary problems.Increased frequency and discomfort during urination may occur, as can inflammation of the prostate gland or cervix.', 'Inflammation of tendons and ligaments where they attach to bone (enthesitis).This happens most often in the heels and the sole of the feet.', 'Swollen toes or fingers.In some cases, toes or fingers might become so swollen that they look like sausages.', 'Skin problems.Reactive arthritis can affect skin in a variety of ways, including mouth sores and a rash on the soles of the feet and palms of the hands.', 'Low back pain.The pain tends to be worse at night or in the morning.']"
147,https://www.mayoclinic.org/diseases-conditions/rheumatoid-arthritis/symptoms-causes/syc-20353648,Rheumatoid arthritis,"Arthritis, rheumatoidSee Rheumatoid arthritis","['Tender, warm, swollen joints', 'Joint stiffness that is usually worse in the mornings and after inactivity', 'Fatigue, fever and loss of appetite']"
148,https://www.mayoclinic.org/diseases-conditions/asbestosis/symptoms-causes/syc-20354637,Asbestosis,Asbestosis,"['Shortness of breath', 'A persistent, dry cough', 'Chest tightness or pain', 'Dry and crackling sounds in your lungs when you inhale', 'Fingertips and toes that appear wider and rounder than usual (clubbing)']"
149,https://www.mayoclinic.org/diseases-conditions/ascariasis/symptoms-causes/syc-20369593,Ascariasis,Ascariasis,"['Persistent cough', 'Shortness of breath', 'Wheezing']"
150,https://www.mayoclinic.org/diseases-conditions/atrial-septal-defect/symptoms-causes/syc-20369715,Atrial septal defect (ASD),ASDSee Atrial septal defect,"['Shortness of breath, especially when exercising', 'Fatigue', 'Swelling of legs, feet or belly (abdomen)', 'Irregular heartbeats (arrhythmias)', 'Sensation of a rapid, pounding heartbeat (palpitations) or skipped beats', 'Whooshing sound that can be heard through a stethoscope (heart murmur)']"
151,https://www.mayoclinic.org/diseases-conditions/avascular-necrosis/symptoms-causes/syc-20369859,Avascular necrosis (osteonecrosis),Aseptic necrosisSee Avascular necrosis,"['Joint or bone trauma.An injury, such as a dislocated joint, might damage nearby blood vessels. Cancer treatments involving radiation also can weaken bone and harm blood vessels.', 'Fatty deposits in blood vessels.The fat (lipids) can block small blood vessels. This can reduce blood flow to bones.', ""Certain diseases.Medical conditions, such as sickle cell anemia and Gaucher's disease, also can lessen blood flow to bone.""]"
152,https://www.mayoclinic.org/diseases-conditions/aspergillosis/symptoms-causes/syc-20369619,Aspergillosis,Aspergillosis,"['Fever', 'A cough that may bring up blood or plugs of mucus', 'Worsening asthma']"
153,https://www.mayoclinic.org/diseases-conditions/asthma/symptoms-causes/syc-20369653,Asthma,Asthma,"['Shortness of breath', 'Chest tightness or pain', 'Wheezing when exhaling, which is a common sign of asthma in children', 'Trouble sleeping caused by shortness of breath, coughing or wheezing', 'Coughing or wheezing attacks that are worsened by a respiratory virus, such as a cold or the flu']"
154,https://www.mayoclinic.org/diseases-conditions/asthma-attack/symptoms-causes/syc-20354268,Asthma attack,Asthma attack,"['Shortness of breath.', 'Chest tightness or pain.', 'Coughing.', 'Wheezing.']"
155,https://www.mayoclinic.org/diseases-conditions/childhood-asthma/symptoms-causes/syc-20351507,Childhood asthma,"Asthma, childhoodSee Childhood asthma","['A whistling or wheezing sound when breathing out.', 'Shortness of breath.', 'Chest congestion or tightness.', 'Frequent coughing that worsens when your child:Has a viral infection.Is sleeping.Is exercising.Is in the cold air.', 'Has a viral infection.', 'Is sleeping.', 'Is exercising.', 'Is in the cold air.']"
156,https://www.mayoclinic.org/diseases-conditions/exercise-induced-asthma/symptoms-causes/syc-20372300,Exercise-induced asthma,"Asthma, exercise-inducedSee Exercise-induced asthma","['Coughing.', 'Wheezing.', 'Shortness of breath.', 'Chest tightness or pain.', 'Fatigue during exercise.', 'Poorer than expected athletic performance.', 'Avoiding activity, which happens mostly in young children.']"
157,https://www.mayoclinic.org/diseases-conditions/occupational-asthma/symptoms-causes/syc-20375772,Occupational asthma,"Asthma, occupationalSee Occupational asthma","['Wheezing, sometimes just at night', 'Coughing', 'Shortness of breath', 'Chest tightness']"
158,https://www.mayoclinic.org/diseases-conditions/astigmatism/symptoms-causes/syc-20353835,Astigmatism,Astigmatism,"['Blurred or distorted vision', 'Eyestrain or discomfort', 'Headaches', 'Difficulty with night vision', 'Squinting']"
159,https://www.mayoclinic.org/diseases-conditions/astrocytoma/cdc-20350132,Astrocytoma,Astrocytoma,None
160,https://www.mayoclinic.org/diseases-conditions/atrial-tachycardia/cdc-20355258,Atrial tachycardia,ATSee Atrial tachycardia,None
161,https://www.mayoclinic.org/diseases-conditions/ataxia/symptoms-causes/syc-20355652,Ataxia,Ataxia,"['Poor coordination', 'Walking unsteadily or with the feet set wide apart', 'Poor balance', 'Difficulty with fine motor tasks, such as eating, writing or buttoning a shirt', 'Change in speech', 'Involuntary back-and-forth eye movements (nystagmus)', 'Difficulty swallowing']"
162,https://www.mayoclinic.org/diseases-conditions/atelectasis/symptoms-causes/syc-20369684,Atelectasis,Atelectasis,"['Having a hard time breathing.', 'Rapid, weak breathing.', 'Wheezing.', 'Coughing.']"
163,https://www.mayoclinic.org/diseases-conditions/athletes-foot/symptoms-causes/syc-20353841,Athlete's foot,Athlete's foot,"['Scaly, peeling or cracked skin between the toes', 'Itchiness, especially right after taking off shoes and socks', 'Inflamed skin that might appear reddish, purplish or grayish, depending on your skin color', 'Burning or stinging', 'Blisters', 'Dry, scaly skin on the bottom of the foot that extends up the side']"
164,https://www.mayoclinic.org/diseases-conditions/atopic-dermatitis-eczema/symptoms-causes/syc-20353273,Atopic dermatitis (eczema),Atopic dermatitis,"['Dry, cracked skin', 'Itchiness (pruritus)', 'Rash on swollen skin that varies in color depending on your skin color', 'Small, raised bumps, on brown or Black skin', 'Oozing and crusting', 'Thickened skin', 'Darkening of the skin around the eyes', 'Raw, sensitive skin from scratching']"
165,https://www.mayoclinic.org/diseases-conditions/atrial-flutter/symptoms-causes/syc-20352586,Atrial flutter,Atrial flutter,None
166,https://www.mayoclinic.org/diseases-conditions/atrioventricular-canal-defect/symptoms-causes/syc-20361492,Atrioventricular canal defect,Atrioventricular canal defect,"['Blue or gray skin color due to low oxygen levels', 'Difficulty breathing or rapid breathing', 'Excessive sweating', 'Fatigue', 'Irregular or rapid heartbeat', 'Lack of appetite', 'Poor weight gain', 'Swelling in the legs, ankles and feet', 'Wheezing']"
167,https://www.mayoclinic.org/diseases-conditions/avnrt/cdc-20355254,Atrioventricular nodal reentry tachycardia (AVNRT),Atrioventricular nodal reentry tachycardia,None
168,https://www.mayoclinic.org/diseases-conditions/vaginal-atrophy/symptoms-causes/syc-20352288,Vaginal atrophy,Atrophic vaginitisSee Vaginal atrophy,"['Vaginal dryness', 'Vaginal burning', 'Vaginal discharge', 'Genital itching', 'Burning with urination', 'Urgency with urination', 'Frequent urination', 'Recurrent urinary tract infections', 'Urinary incontinence', 'Light bleeding after intercourse', 'Discomfort with intercourse', 'Decreased vaginal lubrication during sexual activity', 'Shortening and tightening of the vaginal canal']"
169,https://www.mayoclinic.org/diseases-conditions/reactive-attachment-disorder/symptoms-causes/syc-20352939,Reactive attachment disorder,Attachment disorderSee Reactive attachment disorder,"['Unexplained withdrawal, fear, sadness or irritability', 'Sad and listless appearance', 'Not seeking comfort or showing no response when comfort is given', 'Failure to smile', 'Watching others closely but not engaging in social interaction', 'Failure to reach out when picked up', 'No interest in playing peekaboo or other interactive games', 'Behavior problems', 'Failing to seek support or assistance']"
170,https://www.mayoclinic.org/diseases-conditions/atypical-hyperplasia/symptoms-causes/syc-20369773,Atypical hyperplasia of the breast,Atypical hyperplasia of the breast,"['Atypical ductal hyperplasiadescribes abnormal cells within the breast ducts.', 'Atypical lobular hyperplasiadescribes abnormal cells within the breast lobules.']"
171,https://www.mayoclinic.org/diseases-conditions/autism-spectrum-disorder/symptoms-causes/syc-20352928,Autism spectrum disorder,Autism spectrum disorder,"['Fails to respond to his or her name or appears not to hear you at times', 'Resists cuddling and holding, and seems to prefer playing alone, retreating into his or her own world', 'Has poor eye contact and lacks facial expression', ""Doesn't speak or has delayed speech, or loses previous ability to say words or sentences"", ""Can't start a conversation or keep one going, or only starts one to make requests or label items"", 'Speaks with an abnormal tone or rhythm and may use a singsong voice or robot-like speech', ""Repeats words or phrases verbatim, but doesn't understand how to use them"", ""Doesn't appear to understand simple questions or directions"", ""Doesn't express emotions or feelings and appears unaware of others' feelings"", ""Doesn't point at or bring objects to share interest"", 'Inappropriately approaches a social interaction by being passive, aggressive or disruptive', ""Has difficulty recognizing nonverbal cues, such as interpreting other people's facial expressions, body postures or tone of voice""]"
172,https://www.mayoclinic.org/diseases-conditions/autoimmune-hepatitis/symptoms-causes/syc-20352153,Autoimmune hepatitis,Autoimmune hepatitis,"['Fatigue', 'Abdominal discomfort', 'Yellowing of the skin and whites of the eyes (jaundice)', 'An enlarged liver', 'Abnormal blood vessels on the skin (spider angiomas)', 'Skin rashes', 'Joint pains', 'Loss of menstrual periods']"
173,https://www.mayoclinic.org/diseases-conditions/autoimmune-pancreatitis/symptoms-causes/syc-20369800,Autoimmune pancreatitis,Autoimmune pancreatitis,"['Dark urine', 'Pale stools or stools that float in the toilet', 'Yellow skin and eyes (jaundice)', 'Pain in your upper abdomen or middle part of your back', 'Nausea and vomiting', 'Weakness or extreme tiredness', 'Loss of appetite or feelings of fullness', 'Weight loss for no known reason']"
174,https://www.mayoclinic.org/diseases-conditions/autonomic-neuropathy/symptoms-causes/syc-20369829,Autonomic neuropathy,Autonomic neuropathy,"['Dizziness and faintingwhen standing, caused by a sudden drop in blood pressure.', 'Urinary problems,such as difficulty starting urination, loss of bladder control, difficulty sensing a full bladder and inability to completely empty the bladder. Not being able to completely empty the bladder can lead to urinary tract infections.', 'Sexual difficulties,including problems achieving or maintaining an erection (erectile dysfunction) or ejaculation problems. In women, problems include vaginal dryness, low libido and difficulty reaching orgasm.', 'Difficulty digesting food,such as feeling full after a few bites of food, loss of appetite, diarrhea, constipation, abdominal bloating, nausea, vomiting, difficulty swallowing and heartburn. These problems are all due to changes in digestive function.', ""Inability to recognizelow blood sugar (hypoglycemia), because the warning signals, such as getting shaky, aren't there."", 'Sweating problems,such as sweating too much or too little. These problems affect the ability to regulate body temperature.', 'Sluggish pupil reaction,making it difficult to adjust from light to dark and seeing well when driving at night.', 'Exercise intolerance,which can occur if your heart rate stays the same instead of adjusting to your activity level.']"
175,https://www.mayoclinic.org/diseases-conditions/baby-acne/symptoms-causes/syc-20369880,Baby acne,Baby acne,"['Baby acne', 'Baby acne on cheek']"
176,https://www.mayoclinic.org/diseases-conditions/back-pain/symptoms-causes/syc-20369906,Back pain,Back pain,"['Lasts longer than a few weeks.', ""Is severe and doesn't improve with rest."", 'Spreads down one or both legs, especially if the pain goes below the knee.', 'Causes weakness, numbness, or tingling in one or both legs.', 'Is paired with unexplained weight loss.']"
177,https://www.mayoclinic.org/diseases-conditions/bacterial-vaginosis/symptoms-causes/syc-20352279,Bacterial vaginosis,Bacterial vaginosis,"['Thin, vaginal discharge that may be gray, white or green.', 'Foul-smelling, ""fishy"" vaginal odor.', 'Vaginal itching.', 'Burning during urination.']"
178,https://www.mayoclinic.org/diseases-conditions/bad-breath/symptoms-causes/syc-20350922,Bad breath,Bad breath,"['Food.The breakdown of food particles in and around your teeth can increase bacteria and cause a foul odor. Eating certain foods, such as onions, garlic and spices, also can cause bad breath. After you digest these foods, they enter your bloodstream, are carried to your lungs and affect your breath.', 'Tobacco products.Smoking causes its own unpleasant mouth odor. Smokers and oral tobacco users are also more likely to have gum disease, another source of bad breath.', ""Poor dental hygiene.If you don't brush and floss daily, food particles remain in your mouth, causing bad breath. A colorless, sticky film of bacteria (plaque) forms on your teeth. If not brushed away, plaque can irritate your gums and eventually form plaque-filled pockets between your teeth and gums (periodontitis). Your tongue also can trap bacteria that produce odors. Dentures that aren't cleaned regularly or don't fit properly can harbor odor-causing bacteria and food particles."", 'Dry mouth.Saliva helps cleanse your mouth, removing particles that cause bad odors. A condition called dry mouth or xerostomia (zeer–o-STOE-me-uh) can contribute to bad breath because production of saliva is decreased. Dry mouth naturally occurs during sleep, leading to ""morning breath,"" and it worsens if you sleep with your mouth open. Chronic dry mouth can be caused by a problem with your salivary glands and some diseases.', 'Medications.Some medications can indirectly produce bad breath by contributing to dry mouth. Others can be broken down in the body to release chemicals that can be carried on your breath.', 'Infections in your mouth.Bad breath can be caused by surgical wounds after oral surgery, such as tooth removal, or as a result of tooth decay, gum disease or mouth sores.', 'Other mouth, nose and throat conditions.Bad breath can occasionally stem from small stones that form in the tonsils and are covered with bacteria that produce odor. Infections or chronic inflammation in the nose, sinuses or throat, which can contribute to postnasal drip, also can cause bad breath.', 'Other causes.Diseases, such as some cancers, and conditions such as metabolic disorders, can cause a distinctive breath odor as a result of chemicals they produce. Chronic reflux of stomach acids (gastroesophageal reflux disease, or GERD) can be associated with bad breath. Bad breath in young children can be caused by a foreign body, such as a piece of food, lodged in a nostril.']"
179,https://www.mayoclinic.org/diseases-conditions/bags-under-eyes/symptoms-causes/syc-20369927,Bags under eyes,Bags under eyes,"['Mild swelling', 'Saggy or loose skin', 'Dark circles']"
180,https://www.mayoclinic.org/diseases-conditions/bakers-cyst/symptoms-causes/syc-20369950,Baker cyst,Baker cyst,"['Swelling behind the knee, and sometimes in the leg', 'Knee pain', 'Stiffness and inability to fully flex the knee']"
181,https://www.mayoclinic.org/diseases-conditions/balance-problems/symptoms-causes/syc-20350474,Balance problems,Balance problems,"['Sense of motion or spinning (vertigo)', 'Feeling of faintness or lightheadedness (presyncope)', 'Loss of balance or unsteadiness', 'Falling or feeling like you might fall', 'Feeling a floating sensation or dizziness', 'Vision changes, such as blurriness', 'Confusion']"
182,https://www.mayoclinic.org/diseases-conditions/folliculitis/symptoms-causes/syc-20361634,Folliculitis,Barber's itchSee Folliculitis,"['Clusters of small bumps or pimples around hair follicles', 'Pus-filled blisters that break open and crust over', 'Itchy, burning skin', 'Painful, tender skin', 'An inflamed bump']"
183,https://www.mayoclinic.org/diseases-conditions/mitral-valve-prolapse/symptoms-causes/syc-20355446,Mitral valve prolapse,Barlow's syndromeSee Mitral valve prolapse,"['A racing or irregular heartbeat (arrhythmia)', 'Dizziness or lightheadedness', 'Difficulty breathing or shortness of breath, especially during exercise or when lying flat', 'Fatigue']"
184,https://www.mayoclinic.org/diseases-conditions/barretts-esophagus/symptoms-causes/syc-20352841,Barrett's esophagus,Barrett's esophagus,"['Frequent heartburn and regurgitation of stomach contents', 'Difficulty swallowing food', 'Less commonly, chest pain']"
185,https://www.mayoclinic.org/diseases-conditions/basal-cell-carcinoma/symptoms-causes/syc-20354187,Basal cell carcinoma,Basal cell carcinoma,"[""A shiny, skin-colored bumpthat's translucent, meaning you can see a bit through the surface. The bump can look pearly white or pink on white skin. On brown and Black skin, the bump often looks brown or glossy black. Tiny blood vessels might be visible, though they may be difficult to see on brown and Black skin. The bump may bleed and scab over."", 'A brown, black or blue lesion— or a lesion with dark spots — with a slightly raised, translucent border.', 'A flat, scaly patchwith a raised edge. Over time, these patches can grow quite large.', 'A white, waxy, scar-like lesionwithout a clearly defined border.']"
186,https://www.mayoclinic.org/diseases-conditions/body-dysmorphic-disorder/symptoms-causes/syc-20353938,Body dysmorphic disorder,BDDSee Body dysmorphic disorder,"[""Being extremely preoccupied with a perceived flaw in appearance that to others can't be seen or appears minor"", 'Strong belief that you have a defect in your appearance that makes you ugly or deformed', 'Belief that others take special notice of your appearance in a negative way or mock you', 'Engaging in behaviors aimed at fixing or hiding the perceived flaw that are difficult to resist or control, such as frequently checking the mirror, grooming or skin picking', 'Attempting to hide perceived flaws with styling, makeup or clothes', 'Constantly comparing your appearance with others', 'Frequently seeking reassurance about your appearance from others', 'Having perfectionist tendencies', 'Seeking cosmetic procedures with little satisfaction', 'Avoiding social situations']"
187,https://www.mayoclinic.org/diseases-conditions/bedbugs/symptoms-causes/syc-20370001,Bedbugs,Bedbugs,"['Inflamed spots, often with a darker spot in the middle', 'Itchy', 'Arranged in a rough line or in a cluster', 'Located on the face, neck, arms and hands']"
188,https://www.mayoclinic.org/diseases-conditions/bed-sores/symptoms-causes/syc-20355893,Bedsores (pressure ulcers),Bedsores,"['Unusual changes in skin color or texture', 'Swelling', 'Pus-like draining', 'An area of skin that feels cooler or warmer to the touch than other areas', 'Tender areas']"
189,https://www.mayoclinic.org/diseases-conditions/bed-wetting/symptoms-causes/syc-20366685,Bed-wetting,Bed-wetting,"['Your child still wets the bed after age 7.', 'Your child starts to wet the bed after a few months of being dry at night.', 'In addition to wetting the bed, your child has pain when passing urine, is often extra thirsty, has pink or red urine, has hard stools, or snores.']"
190,https://www.mayoclinic.org/diseases-conditions/bee-stings/symptoms-causes/syc-20353869,Bee sting,Bee sting,"['Instant, sharp burning pain at the sting site', 'A red welt at the sting area', 'Slight swelling around the sting area']"
191,https://www.mayoclinic.org/diseases-conditions/behcets-disease/symptoms-causes/syc-20351326,Behcet's disease,Behcet's disease,"[""Mouth.Painful mouth sores that look similar to canker sores are the most common sign of Behcet's disease. They begin as raised, round lesions in the mouth that quickly turn into painful ulcers. The sores usually heal in one to three weeks, though they do recur."", 'Skin.Some people develop acnelike sores on their bodies. Others develop red, raised and tender nodules on their skin, especially on the lower legs.', 'Genitals.Red, open sores can occur on the scrotum or the vulva. The sores are usually painful and can leave scars.', ""Eyes.Inflammation in the eye (uveitis) causes redness, pain and blurred vision, typically in both eyes. In people with Behcet's disease, the condition can come and go."", ""Joints.Joint swelling and pain often affect the knees in people with Behcet's disease. The ankles, elbows or wrists also might be involved. Signs and symptoms can last one to three weeks and go away on their own."", 'Blood vessels.Inflammation in veins and arteries can cause redness, pain, and swelling in the arms or legs when a blood clot results. Inflammation in the large arteries can lead to complications, such as aneurysms and narrowing or blockage of the vessel.', 'Digestive system.A variety of signs and symptoms can affect the digestive system, including abdominal pain, diarrhea and bleeding.', 'Brain.Inflammation in the brain and nervous system can cause headache, fever, disorientation, poor balance or stroke.']"
192,https://www.mayoclinic.org/diseases-conditions/bells-palsy/symptoms-causes/syc-20370028,Bell's palsy,Bell's palsy,"['Rapid onset of mild weakness to total paralysis on one side of your face — occurring within hours to days', 'Facial droop and difficulty making facial expressions, such as closing your eye or smiling', 'Drooling', 'Pain around the jaw or in or behind your ear on the affected side', 'Increased sensitivity to sound on the affected side', 'Headache', 'A loss of taste', 'Changes in the amount of tears and saliva you produce']"
193,https://www.mayoclinic.org/diseases-conditions/geographic-tongue/symptoms-causes/syc-20354396,Geographic tongue,Benign migratory glossitisSee Geographic tongue,"['Smooth, red, irregularly shaped patches on the top or side of your tongue. These patches may look like sores.', 'Frequent changes in the location, size and shape of the patches.', 'Pain or burning feeling in some cases, most often related to eating spicy or acidic foods.']"
194,https://www.mayoclinic.org/diseases-conditions/vertigo/symptoms-causes/syc-20370055,Benign paroxysmal positional vertigo (BPPV),Benign paroxysmal positional vertigoSee Benign paroxysmal positional vertigo,"['Dizziness', 'A sense that you or your surroundings are spinning or moving (vertigo)', 'A loss of balance or unsteadiness', 'Nausea', 'Vomiting']"
195,https://www.mayoclinic.org/diseases-conditions/peripheral-nerve-tumors-benign/symptoms-causes/syc-20368680,Benign peripheral nerve tumor,Benign peripheral nerve tumor,"['Swelling or a lump under your skin', 'Pain, tingling or numbness', 'Weakness or loss of function in the affected area', 'Dizziness or loss of balance']"
196,https://www.mayoclinic.org/diseases-conditions/benign-prostatic-hyperplasia/symptoms-causes/syc-20370087,Benign prostatic hyperplasia (BPH),Benign prostatic hyperplasia,"['Frequent or urgent need to pee, also called urination.', 'Peeing more often at night.', 'Trouble starting to pee.', 'Weak urine stream, or a stream that stops and starts.', 'Dribbling at the end of urination.', 'Not being able to fully empty the bladder.']"
197,https://www.mayoclinic.org/diseases-conditions/iga-nephropathy/symptoms-causes/syc-20352268,IgA nephropathy (Berger disease),Berger's diseaseSee IgA nephropathy,"['Cola- or tea-colored urine caused by blood. You might notice these color changes after a cold, sore throat or respiratory infection.', 'Blood that can be seen in the urine.', 'Foamy urine from protein leaking into the urine. This is called proteinuria.', 'Pain on one or both sides of the back below the ribs.', 'Swelling in the hands and feet called edema.', 'High blood pressure.', 'Weakness and tiredness.']"
198,https://www.mayoclinic.org/diseases-conditions/bicuspid-aortic-valve/cdc-20385577,Bicuspid aortic valve,Bicuspid aortic valve,None
199,https://www.mayoclinic.org/diseases-conditions/cholangiocarcinoma/symptoms-causes/syc-20352408,Cholangiocarcinoma (bile duct cancer),Bile duct cancerSee Cholangiocarcinoma,"['Yellowing of your skin and the whites of your eyes (jaundice)', 'Intensely itchy skin', 'White-colored stools', 'Fatigue', 'Abdominal pain on the right side, just below the ribs', 'Losing weight without trying', 'Fever', 'Night sweats', 'Dark urine']"
200,https://www.mayoclinic.org/diseases-conditions/bile-reflux/symptoms-causes/syc-20370115,Bile reflux,Bile reflux,"['Upper abdominal pain that may be severe', 'Frequent heartburn — a burning sensation in your chest that sometimes spreads to your throat, along with a sour taste in your mouth', 'Nausea', 'Vomiting a greenish-yellow fluid (bile)', 'Occasionally, a cough or hoarseness', 'Unintended weight loss']"
201,https://www.mayoclinic.org/diseases-conditions/binge-eating-disorder/symptoms-causes/syc-20353627,Binge-eating disorder,Binge-eating disorder,"['Eating unusually large amounts of food in a specific amount of time, such as over a two-hour period', 'Feeling that your eating behavior is out of control', ""Eating even when you're full or not hungry"", 'Eating rapidly during binge episodes', ""Eating until you're uncomfortably full"", 'Frequently eating alone or in secret', 'Feeling depressed, disgusted, ashamed, guilty or upset about your eating', 'Frequently dieting, possibly without weight loss']"
202,https://www.mayoclinic.org/diseases-conditions/bipolar-disorder/symptoms-causes/syc-20355955,Bipolar disorder,Bipolar disorder,"[""Bipolar I disorder.You've had at least one manic episode that may be preceded or followed by hypomanic or major depressive episodes. In some cases, mania may trigger a break from reality (psychosis)."", ""Bipolar II disorder.You've had at least one major depressive episode and at least one hypomanic episode, but you've never had a manic episode."", ""Cyclothymic disorder.You've had at least two years — or one year in children and teenagers — of many periods of hypomania symptoms and periods of depressive symptoms (though less severe than major depression)."", ""Other types.These include, for example, bipolar and related disorders induced by certain drugs or alcohol or due to a medical condition, such as Cushing's disease, multiple sclerosis or stroke.""]"
203,https://www.mayoclinic.org/diseases-conditions/black-hairy-tongue/symptoms-causes/syc-20356077,Black hairy tongue,Black hairy tongue,"['Black discoloration of the tongue, although the color may be brown, tan, green, yellow or white', 'A hairy or furry appearance of the tongue', 'Altered taste or metallic taste in your mouth', 'Bad breath (halitosis)', 'Gagging or tickling sensation, if the overgrowth of the papillae is excessive']"
204,https://www.mayoclinic.org/diseases-conditions/bladder-stones/symptoms-causes/syc-20354339,Bladder stones,Bladder calculiSee Bladder stones,"['Lower abdominal pain', 'Pain during urination', 'Frequent urination', 'Difficulty urinating or interrupted urine flow', 'Blood in the urine', 'Cloudy or unusually dark-colored urine']"
205,https://www.mayoclinic.org/diseases-conditions/bladder-cancer/symptoms-causes/syc-20356104,Bladder cancer,Bladder cancer,"['Blood in urine (hematuria), which may cause urine to appear bright red or cola colored, though sometimes the urine appears normal and blood is detected on a lab test', 'Frequent urination', 'Painful urination', 'Back pain']"
206,https://www.mayoclinic.org/diseases-conditions/urinary-incontinence/symptoms-causes/syc-20352808,Urinary incontinence,"Bladder control, loss ofSee Urinary incontinence","['Stress incontinence.Urine leaks when you exert pressure on your bladder by coughing, sneezing, laughing, exercising or lifting something heavy.', 'Urge incontinence.You have a sudden, intense urge to urinate followed by an involuntary loss of urine. You may need to urinate often, including throughout the night. Urge incontinence may be caused by a minor condition, such as infection, or a more severe condition such as a neurological disorder or diabetes.', ""Overflow incontinence.You experience frequent or constant dribbling of urine due to a bladder that doesn't empty completely."", 'Functional incontinence.A physical or mental impairment keeps you from making it to the toilet in time. For example, if you have severe arthritis, you may not be able to unbutton your pants quickly enough.', 'Mixed incontinence.You experience more than one type of urinary incontinence — most often this refers to a combination of stress incontinence and urge incontinence.']"
